,Binary Representation,Expected Time,k-opt
Expected Time General,NaN,9.693645654279264,All
127,1111111,0.0,0
126,1111110,7.000000000000002,1
125,1111101,7.000000000000002,1
124,1111100,10.500000000000002,1
123,1111011,7.000000000000002,1
122,1111010,10.500000000000002,1
121,1111001,10.500000000000002,1
120,1111000,12.833333333333334,1
119,1110111,7.000000000000002,1
118,1110110,10.500000000000002,1
117,1110101,10.500000000000002,1
116,1110100,12.833333333333334,1
115,1110011,10.500000000000002,1
114,1110010,12.833333333333334,1
113,1110001,12.833333333333334,1
112,1110000,13.999999999999998,2
111,1101111,7.000000000000002,1
110,1101110,10.500000000000002,1
109,1101101,10.500000000000002,1
108,1101100,12.833333333333334,1
107,1101011,10.500000000000002,1
106,1101010,12.833333333333334,1
105,1101001,12.833333333333334,1
104,1101000,14.000000000000002,2
103,1100111,10.500000000000002,1
102,1100110,12.833333333333334,1
101,1100101,12.833333333333334,1
100,1100100,14.000000000000002,2
99,1100011,12.833333333333334,1
98,1100010,13.999999999999996,3
97,1100001,13.999999999999996,2
96,1100000,13.999999999999996,3
95,1011111,7.000000000000002,1
94,1011110,10.500000000000002,1
93,1011101,10.500000000000002,1
92,1011100,12.833333333333334,1
91,1011011,10.500000000000002,1
90,1011010,12.833333333333334,1
89,1011001,12.833333333333334,1
88,1011000,13.999999999999998,2
87,1010111,10.500000000000002,1
86,1010110,12.833333333333334,1
85,1010101,12.833333333333334,1
84,1010100,13.681818181818183,4
83,1010011,12.833333333333334,1
82,1010010,13.681818181818183,4
81,1010001,13.681818181818183,4
80,1010000,12.6,5
79,1001111,10.500000000000002,1
78,1001110,12.833333333333334,1
77,1001101,12.833333333333334,1
76,1001100,13.454545454545453,4
75,1001011,12.833333333333334,1
74,1001010,13.454545454545453,4
73,1001001,13.454545454545453,4
72,1001000,12.25,5
71,1000111,12.833333333333334,1
70,1000110,13.465789473684213,3
69,1000101,13.465789473684213,3
68,1000100,12.25,5
67,1000011,13.405000000000003,3
66,1000010,12.25,5
65,1000001,12.25,5
64,1000000,7.000000000000002,6
63,0111111,7.000000000000002,1
62,0111110,10.500000000000002,1
61,0111101,10.500000000000002,1
60,0111100,12.833333333333334,1
59,0111011,10.500000000000002,1
58,0111010,12.833333333333334,1
57,0111001,12.833333333333334,1
56,0111000,12.95,5
55,0110111,10.500000000000002,1
54,0110110,12.833333333333334,1
53,0110101,12.833333333333334,1
52,0110100,12.892845750740484,4
51,0110011,12.833333333333334,1
50,0110010,12.88995101389838,4
49,0110001,12.88995101389838,4
48,0110000,11.500000000000002,7
47,0101111,10.500000000000002,1
46,0101110,12.833333333333334,1
45,0101101,12.833333333333334,1
44,0101100,12.78343291941976,4
43,0101011,12.833333333333334,1
42,0101010,12.781020638718003,4
41,0101001,12.781020638718003,4
40,0101000,11.500000000000002,7
39,0100111,12.833333333333334,1
38,0100110,12.770579535961113,4
37,0100101,12.770579535961113,4
36,0100100,11.500000000000002,7
35,0100011,12.773223395610238,4
34,0100010,11.500000000000002,7
33,0100001,11.500000000000002,7
32,0100000,8.000000000000002,7
31,0011111,10.500000000000002,1
30,0011110,12.792253864205977,3
29,0011101,12.792253864205977,3
28,0011100,12.536246953241694,4
27,0011011,12.779966958723547,3
26,0011010,12.534485666691985,4
25,0011001,12.534485666691985,4
24,0011000,11.500000000000002,7
23,0010111,12.74908507233995,3
22,0010110,12.54659328177074,4
21,0010101,12.54659328177074,4
20,0010100,11.500000000000002,7
19,0010011,12.548541325536066,4
18,0010010,11.500000000000002,7
17,0010001,11.500000000000002,7
16,0010000,8.000000000000002,7
15,0001111,12.697000585519245,3
14,0001110,12.422829761788035,4
13,0001101,12.422829761788035,4
12,0001100,11.500000000000002,7
11,0001011,12.42452024416095,4
10,0001010,11.500000000000002,7
9,0001001,11.500000000000002,7
8,0001000,8.000000000000002,7
7,0000111,12.286643747745993,4
6,0000110,11.500000000000002,7
5,0000101,11.500000000000002,7
4,0000100,8.000000000000002,7
3,0000011,11.500000000000002,7
2,0000010,8.000000000000002,7
1,0000001,8.000000000000002,7
