,E[dynamic-RLS-opt],E[dynamic-RLS-drift],E[dynamic-(1+1){>0}-p-opt],E[dynamic-(1+1){>0}-p-drift],E[dynamic-(1+1)-p-opt],E[dynamic-(1+1)-p-drift],E[dynamic-(1+1)-Baeck],E[static-RLS-1],E[static-(1+1)-1/n],E[old-1+1{>0}],static-(1+1)-opt,E[static-(1+1)-opt],E[dynamic-(1+1){>0}-p-drift-1/2n],E[dynamic-(1+1){>0}-p-drift-1/n],E[dynamic-(1+1){>0}-p-opt-1/2n],E[dynamic-(1+1){>0}-p-opt-1/n],E[old-1+1{>0}-1/2n]
100,432.35715093205295,432.5806535421427,435.7102605497036,436.17328727631144,1004.7217266697684,1004.9983782737672,1007.2622294928236,449.4230337079514,1069.5384972597178,678.0528170258906,0.011703501410416376,1057.1514825221814,532.9575403406232,662.6834669526586,532.7217792355445,662.4434349495697,548.6222944942614
500,2974.047700868689,2974.2948928797905,2978.211328830622,2987.6130977612042,7187.909525266333,7188.170879281905,7202.037225959973,3049.8381247119064,7509.335324374188,4749.570076170221,0.002249585665715169,7460.119158998994,3710.122650350671,4680.650198802277,3699.2959546827346,4664.822946032871,3780.000458215772
1000,6643.960055202911,6644.202289298384,6664.329683812866,6680.857050976192,16253.23149736882,16253.486774110517,16282.364353981231,6792.323679977325,16894.68929638156,10682.589339175114,0.0011106254326500608,16806.029861773735,8320.53616085522,10547.60691342798,8319.827357381268,10547.296666388938,8457.200039426387
1500,10575.677710654418,10575.922791684068,10605.3134666979,10646.628685752092,26029.50920639099,26029.784320659684,26073.802590725758,10796.43325158236,26990.829477245188,17064.768922517615,0.0007357023189190562,26865.520874328282,13270.491831829426,16863.93654126489,13269.482525622549,16863.599235740698,13473.770575573215
2000,14677.368434117547,14677.617204297358,14716.01751221565,14793.996580098486,36267.53339000048,36267.82031627466,36327.06107843938,14970.441846117506,37548.64560472871,23738.72490623203,0.0005495020658037422,37388.30276756001,18440.97419698766,23472.076753058194,18439.61598307386,23471.68682108838,18710.74608946028
2500,18905.434467518775,18905.689140244005,18952.819361935635,,46848.9261342028,46849.26614255872,46923.732567078936,19270.786205138917,48449.791333682086,30629.674503645983,0.00043828694102689825,48255.528089217245,23775.279039332363,30297.305253350816,23773.68692362996,30296.80822959404,24111.618949651784
3000,23234.203837634675,23234.45694476864,23291.09325685644,,57703.95872106122,57704.68378611689,57794.074075819895,23671.808128485805,59624.55215010113,37693.5615073401,0.00036439209280562034,59397.20805349976,29240.590679763533,37295.50905752385,29238.396426122767,37294.892452709944,29643.105003598866
3500,27646.71439638492,27646.965261354104,27712.61040004422,,68786.55451189075,68786.98745817327,68892.00084560044,28156.553537755728,71026.85904939171,44901.27103875653,,,34813.21512833821,44437.069762854575,34811.742811334836,44436.81671681347,35283.2104533423
4000,32130.910699786065,32131.158683589463,32205.811481266435,,80063.96392820272,80064.60109563095,80184.75815020315,32712.97247701711,82623.96699656622,52232.108043675005,,,,,,,
4500,36677.780993217595,36678.03476734813,36761.9208144698,,,91512.31920893765,91647.8551018764,37332.055201347954,94391.39151710071,59670.597806392085,,,,,,,
