,dynamic-(1+1)-p-opt,E[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift]
Expected Time General,All,35.41498028867258,All,35.62224665762884
9,0,0.0,0,0.0
8,0.1111111111111111,23.092060625553138,0.11111108196194017,23.092019318403796
7,0.15500847320466088,31.601869755417244,0.14285796648424928,31.63748879836594
6,0.23458299980310207,35.58278455714934,0.19999338775005795,35.68768840086491
5,0.3943917090011233,37.041945986306565,0.35092971419292723,37.16004736816642
4,0.6056082909988756,37.041945986306565,0.8239333331336072,37.60585022030204
3,1,36.58278455714934,1,36.68768840086491
2,1,32.60186975541724,1,32.637488798365936
1,1,24.092060625553138,1,24.092019318403796
