,dynamic-RLS-opt,E[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift]
Expected Time General,All,19.70125731379414,All,20.02611624007536
10,0,0.0,0,0.0
9,1,10.0,1,10.0
8,1,15.0,1,15.0
7,1,18.333333333333332,1,18.333333333333332
6,3,20.500000000000004,1,20.833333333333336
5,5,21.246031746031754,5,21.510582010582016
4,8,20.899998902956305,10,21.83326455514851
3,10,19.333332912321197,10,19.333334188115543
2,10,16.000306815178384,10,16.000363269430355
1,10,11.007396354277413,10,11.00743568910524
0,10,1.0,10,1.0
